City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,80.13,71,0,7.54,PF,1616357944
Ushuaia,-54.8,-68.3,55.4,58,40,18.41,AR,1616357707
Busselton,-33.65,115.3333,64.99,95,80,3.0,AU,1616357988
Sakakah,29.9697,40.2064,73.4,17,0,4.61,SA,1616358327
Saldanha,-33.0117,17.9442,62.6,67,0,6.91,ZA,1616358034
Kayes,14.0,-11.0,91.58,18,0,7.83,ML,1616358042
Avarua,-21.2078,-159.775,78.8,89,75,8.05,CK,1616357717
Punta Arenas,-53.15,-70.9167,59.0,55,40,19.57,CL,1616357944
Shitkino,56.3703,98.3543,29.37,90,100,6.42,RU,1616358328
Arman',59.7,150.1667,6.55,92,100,7.05,RU,1616358329
Miandrivazo,-19.5167,45.4667,79.5,83,92,1.25,MG,1616358329
Arraial do Cabo,-22.9661,-42.0278,86.0,69,0,23.02,BR,1616357954
Kabanjahe,3.1001,98.4908,78.8,94,40,2.3,ID,1616358070
Yellowknife,62.456,-114.3525,0.0,55,20,14.97,CA,1616357999
Zalesovo,53.9939,84.7431,30.76,93,100,11.18,RU,1616358073
Albany,42.6001,-73.9662,63.0,18,20,2.95,US,1616357720
Abnūb,27.2696,31.1511,86.0,42,0,4.97,EG,1616358330
Aquidauana,-20.4711,-55.7872,90.59,52,81,2.1,BR,1616358273
Saint-Philippe,-21.3585,55.7679,77.0,88,75,3.44,RE,1616357949
Caucayá,-0.1934,-74.7819,90.77,47,96,1.72,CO,1616358331
Vila Velha,-20.3297,-40.2925,84.99,74,40,6.91,BR,1616357882
Kapaa,22.0752,-159.319,73.4,64,40,19.57,US,1616357945
Broome,42.2506,-75.833,63.0,17,1,3.44,US,1616357991
Puerto Ayora,-0.7393,-90.3518,86.0,66,20,8.05,EC,1616357954
Gravdal,68.1214,13.5031,26.6,93,75,3.44,NO,1616358104
Nanortalik,60.1432,-45.2371,25.03,78,100,30.96,GL,1616358029
Waynesboro,38.0685,-78.8895,63.0,20,1,4.61,US,1616358065
Mataura,-46.1927,168.8643,54.0,95,100,3.0,NZ,1616357943
Kaitangata,-46.2817,169.8464,57.99,85,97,4.0,NZ,1616358090
Richards Bay,-28.783,32.0377,71.4,86,90,11.92,ZA,1616357803
Hithadhoo,-0.6,73.0833,82.98,75,99,9.4,MV,1616357985
Hobart,-42.8794,147.3294,57.2,94,40,5.75,AU,1616357830
Paraná,-31.732,-60.5238,82.99,40,0,1.01,AR,1616358056
Samarai,-10.6167,150.6667,82.71,78,99,8.1,PG,1616358044
St. George's,12.0564,-61.7485,82.4,69,20,20.71,GD,1616358334
Mahébourg,-20.4081,57.7,78.8,89,75,9.22,MU,1616358020
Tasiilaq,65.6145,-37.6368,28.4,74,20,6.91,GL,1616357945
Ixtapa,20.7,-105.2,77.0,61,1,12.66,MX,1616358107
Corn Island,12.1694,-83.0418,79.38,76,36,19.1,NI,1616358335
Khuzdar,27.7384,66.6434,61.61,59,81,1.68,PK,1616358336
Saint Paul Harbor,57.79,-152.4072,35.6,75,90,4.61,US,1616357998
Kavaratti,10.5669,72.642,82.47,71,0,7.49,IN,1616358062
Bethel,41.3712,-73.414,64.99,15,1,3.44,US,1616357995
Kuznechnoye,61.12,29.8686,32.0,92,100,14.14,RU,1616358337
Zhigansk,66.7697,123.3711,-19.12,92,100,20.62,RU,1616358337
Hay River,60.8156,-115.7999,1.4,66,89,6.91,CA,1616357847
Touros,-5.1989,-35.4608,82.4,74,20,13.8,BR,1616358099
Cabo San Lucas,22.8909,-109.9124,88.0,28,1,6.06,MX,1616358045
Ayan,56.45,138.1667,14.65,93,100,9.64,RU,1616358092
Dongxing,45.3667,130.8,25.11,78,20,9.91,CN,1616358338
Bluff,-46.6,168.3333,54.0,95,100,3.0,NZ,1616357953
Mayo,38.8876,-76.5119,61.0,29,1,4.61,US,1616357958
Santiago,-33.4569,-70.6483,80.01,35,40,5.75,CL,1616358339
Alaşehir,38.3508,28.5172,56.7,76,0,4.23,TR,1616358339
Brae,60.3964,-1.353,44.6,93,90,19.57,GB,1616358340
Simpang,-1.2667,104.0833,75.11,97,100,2.24,ID,1616358340
Port Hardy,50.6996,-127.4199,42.8,87,90,8.05,CA,1616358340
Dikson,73.5069,80.5464,-11.83,65,100,4.99,RU,1616357949
St. Pete Beach,27.7253,-82.7412,63.0,72,90,17.27,US,1616358341
Margate,51.3813,1.3862,43.0,72,100,1.99,GB,1616358015
Philadelphia,39.9523,-75.1638,66.0,19,20,4.61,US,1616358128
Castro,-24.7911,-50.0119,74.35,87,100,3.87,BR,1616357987
Jiuquan,39.7432,98.5174,32.83,29,0,3.24,CN,1616358342
Omboué,-1.5746,9.2618,78.85,87,100,6.08,GA,1616358342
Atuona,-9.8,-139.0333,80.29,77,2,13.8,PF,1616357984
Port Alfred,-33.5906,26.891,64.89,70,90,9.1,ZA,1616358031
Guerrero Negro,27.9769,-114.0611,65.64,49,100,20.18,MX,1616358006
Kumul,42.8,93.45,39.61,24,0,3.02,CN,1616358027
Ribeira Grande,38.5167,-28.7,60.8,77,40,10.36,PT,1616358042
Hofn,64.2539,-15.2082,43.27,83,100,17.27,IS,1616358344
Saskylakh,71.9167,114.0833,-29.38,99,93,2.71,RU,1616357996
Bukama,-9.2,25.85,71.76,85,98,0.04,CD,1616358344
Turukhansk,65.8167,87.9833,-2.36,88,100,19.26,RU,1616358001
Shingū,33.7333,135.9833,48.16,69,1,10.54,JP,1616358017
